timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
13699377,-0.00213053,0.0106526,0.0106526,22.5,-16.8,67.8,-1.06818,0.335303,11.2124
13712382,-0.0117179,0.0117179,0.00852211,21.15,-16.35,68.55,-0.998723,0.258662,11.2243
13735203,-0.00532632,0.0117179,0.00852211,21.9,-17.1,68.55,-0.977168,0.335303,11.21
13747378,-0.00852211,0.00745685,0.00852211,22.2,-16.05,69.3,-0.965193,0.265847,11.1764
13770209,-0.00852211,0.00958738,0.0106526,21.9,-16.8,68.25,-0.919688,0.332908,11.2363
13782379,-0.00532632,0.015979,0.00426106,23.85,-16.65,68.7,-1.04183,0.299377,11.2028
13805203,-0.0117179,0.00852211,0.00958738,22.95,-15.6,68.55,-0.960403,0.258662,11.1645
13817382,-0.00532632,0.00745685,0.00745685,22.8,-17.4,68.4,-0.996328,0.335303,11.1812
13840203,-0.00319579,0.00958738,0.0127832,22.05,-16.65,69,-1.04423,0.294587,11.1788
13852379,-0.00852211,0.00745685,0.00852211,22.2,-17.55,69.3,-0.989143,0.275427,11.2148
13875255,-0.00426106,0.0106526,0.00532632,22.35,-16.95,68.7,-0.979563,0.304167,11.186
13888382,-0.0138484,0.0106526,0.00745685,23.4,-16.65,70.05,-1.03465,0.318538,11.2243
13901382,-0.00745685,0.00958738,0.0106526,22.95,-15.6,67.8,-1.00112,0.294587,11.2076
13924203,-0.0117179,0.00958738,0.00532632,23.55,-16.35,68.55,-0.998723,0.316143,11.1669
13936403,-0.00639159,0.00639159,0.00426106,22.95,-16.35,68.25,-1.02507,0.263452,11.2435
13959203,-0.00852211,0.00958738,0.00532632,22.05,-15.9,67.95,-1.01309,0.304167,11.1693
13971382,-0.00852211,0.0117179,0.00639159,22.95,-15.6,68.85,-0.958008,0.337698,11.2722
13994252,-0.00319579,0.0127832,0.00106526,22.05,-16.65,70.05,-1.0107,0.292192,11.1525
14007379,-0.0149137,0.00639159,0.00852211,22.35,-17.4,67.95,-1.00112,0.232317,11.2267
14030203,0,0.00852211,0.00852211,23.1,-16.2,68.7,-0.993933,0.311353,11.2243
14042379,-0.00639159,0.0127832,0.00426106,22.2,-16.35,68.55,-1.00351,0.332908,11.21
14065217,-0.00213053,0.015979,0.00958738,21.9,-17.55,68.85,-1.01788,0.246687,11.2363
14078378,-0.00639159,0.0106526,0.00745685,21.3,-16.2,67.65,-1.00112,0.318538,11.1836
14101203,-0.0149137,0.00852211,0.00532632,22.5,-15.6,68.55,-1.03225,0.261057,11.2579
14113409,-0.00639159,0.00958738,0.00958738,23.25,-17.1,69.3,-1.00112,0.308958,11.186
14136203,-0.00852211,0.00958738,0.00745685,23.25,-17.55,68.55,-1.0083,0.337698,11.1693
14148371,-0.00639159,0.0170442,0.00426106,23.1,-15.45,69.45,-0.936453,0.306563,11.2148
14171203,-0.015979,0.0149137,0.00745685,21.9,-16.35,68.25,-0.998723,0.301772,11.21
14184375,-0.00106526,0.0127832,0.00745685,22.5,-17.1,69.3,-0.981958,0.265847,11.2675
14197379,-0.00319579,0.00852211,0.00532632,22.35,-16.95,68.7,-0.984353,0.356858,11.1812
14220203,-0.00639159,0.00958738,0.00745685,22.2,-16.35,68.85,-1.00112,0.282612,11.3177
14232378,-0.00532632,0.0117179,0.00426106,22.5,-15.6,67.8,-1.02267,0.347278,11.1357
14255204,-0.0181095,0.0106526,0.00106526,22.35,-16.65,67.65,-1.02746,0.328118,11.2339
14267375,0.00639159,0.00532632,0.00958738,22.5,-16.05,68.25,-1.00112,0.277822,11.2004
14290203,-0.0149137,0.0106526,0.00745685,22.95,-16.05,68.85,-1.0586,0.304167,11.1812
14302380,-0.00106526,0.00745685,0.00958738,22.8,-16.65,68.4,-1.03225,0.253872,11.2363
14325203,-0.00319579,0.00532632,0.0138484,22.95,-16.05,68.25,-0.974773,0.246687,11.1693
14337376,-0.0127832,0.0106526,0.00106526,22.2,-16.8,67.8,-1.06578,0.285007,11.2124
14360203,0.00426106,0.00639159,0.00745685,22.8,-17.4,69,-1.00351,0.273032,11.1573
14372375,-0.0117179,0.00958738,0.00958738,22.05,-16.2,68.7,-0.998723,0.299377,11.1788
14395203,0.00106526,0.00852211,0.00106526,22.5,-17.55,69.3,-1.02267,0.311353,11.2028
14407376,-0.0149137,0.0138484,0.00639159,21.6,-16.2,67.65,-1.12805,0.294587,11.1645
14430209,0.02024,0.015979,0.00852211,22.05,-15.45,67.95,-0.910107,0.275427,11.277
14443379,-0.00745685,0.0138484,0.00852211,23.1,-16.2,68.4,-0.943638,0.340093,11.0591
14466203,-0.00213053,0.0138484,0.00852211,22.8,-15.9,68.7,-0.883762,0.320933,11.4135
14479378,0.00639159,0.0170442,0.00532632,23.1,-16.65,68.4,-0.924478,0.352068,11.0543
14502203,-0.00745685,0.02024,0.00426106,22.2,-16.35,68.25,-1.07057,0.316143,11.3273
14514377,0.0223706,0.0138484,0.00958738,22.35,-16.95,68.7,-0.989143,0.323328,11.1764
14537217,-0.0181095,0.02024,0.00852211,21.6,-15.9,68.7,-0.993933,0.352068,11.2531
14550379,0.0149137,0.0117179,0.00852211,22.35,-16.65,67.95,-1.04423,0.359253,11.2267
14573203,-0.0234358,0.015979,0.00426106,21.3,-15.9,67.95,-1.02986,0.306563,11.1669
14585377,0.00319579,0.0149137,0.00426106,22.2,-14.85,68.25,-1.08734,0.349673,11.3297
14609210,-0.00852211,0.0191748,0.00852211,22.2,-17.1,68.25,-1.0083,0.320933,11.1118
14621382,-0.0106526,0.0149137,0.00958738,22.35,-16.95,68.4,-0.960403,0.335303,11.2938
14634377,-0.00532632,0.0117179,0.00639159,24.3,-16.35,67.5,-1.0083,0.373623,11.107
14657217,-0.0181095,0.0138484,0.00639159,22.35,-16.95,69,-1.03704,0.330513,11.2675
14670378,0.00426106,0.0106526,0.00958738,22.5,-16.05,68.55,-1.02507,0.304167,11.1788
14693203,-0.0170442,0.00745685,0.00745685,23.25,-14.25,67.8,-1.05381,0.258662,11.2124
14705377,-0.00852211,0.00319579,0.00852211,21.9,-17.55,68.55,-1.08494,0.328118,11.2315
14728203,-0.0117179,0.00426106,0.00639159,21.9,-16.8,68.85,-1.00591,0.306563,11.1836
14740378,-0.00852211,-0.00106526,0.00639159,22.8,-16.65,67.95,-1.03944,0.308958,11.2746
14763203,-0.00319579,0.00426106,0.00958738,23.4,-16.65,67.95,-1.02507,0.320933,11.1717
14775418,-0.0223706,0.00958738,0.00532632,24,-17.55,68.55,-1.05381,0.294587,11.1621
14798203,-0.00639159,0.00639159,0.00639159,21.6,-16.2,68.4,-1.03944,0.299377,11.2291
14810378,-0.0170442,0.00745685,0.00532632,22.05,-16.95,68.7,-0.993933,0.344883,11.174
