timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
13576290,-0.0117179,0.0106526,0.00532632,-20.1,20.1,41.7,1.0083,1.97589,9.77137
13680290,-0.0106526,-0.00319579,0.00958738,-19.95,21.45,41.55,1.03225,2.03098,9.95339
13784291,0.00426106,0.00639159,0.00532632,-19.5,19.2,40.5,1.09931,2.02858,9.81687
13888291,-0.0138484,0.00106526,0.0106526,-19.2,19.95,41.55,1.0586,1.99984,9.92225
13992290,-0.00639159,0.0117179,0.00958738,-20.4,20.1,39.9,1.07536,2.02619,9.71389
14096290,-0.00639159,0.00745685,0.00639159,-20.25,19.95,40.5,1.09213,2.0669,9.85998
14200290,0.00213053,0.00745685,0.00426106,-19.35,20.85,41.25,1.10171,2.05493,9.79292
14304291,-0.00213053,0.04048,0.00319579,-19.35,20.1,42.75,1.02028,2.00463,9.81927
14409290,0.00319579,0.0628506,-0.00852211,-19.5,19.2,40.8,1.07057,2.05972,9.88633
14513589,0.0532632,0.1012,-0.0170442,-21,19.5,42.15,0.835862,2.01182,9.92465
14627298,0.106526,0.120375,-0.02024,-19.65,20.1,40.65,0.670605,2.26569,9.951
14731290,0.0394148,0.0713727,-0.04048,-19.65,20.55,41.25,0.62031,2.15791,9.63006
14835291,0.0809601,0.0490022,0.00639159,-19.05,19.35,40.2,0.713716,2.29922,9.87675
14939290,0.166181,0.105461,-0.0234358,-19.05,21.15,40.95,0.65384,2.32556,9.89112
15043291,0.432497,-0.0458064,-0.414388,-18.15,21,39.45,-3.45841,3.41769,12.0155
15147291,-0.532632,-0.523045,-1.85249,-17.4,20.7,38.4,-0.174836,2.8381,9.64204
15251290,-0.72438,-0.60294,-3.04985,-14.25,19.95,40.8,-0.395178,3.96855,8.56428
15355291,-0.459129,-0.20027,-3.19792,-9.15,18,40.5,1.0083,4.26553,11.3617
15459290,0.0308927,-0.369647,-1.11427,-5.7,14.4,41.55,4.2823,1.60466,7.13685
15563291,0.377104,-0.472977,-0.486826,-6.45,16.05,40.2,2.96743,1.346,8.32717
15667290,-0.535828,0.208792,-0.304666,-4.35,14.85,39.9,0.0359253,2.07888,7.77392
