timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
11864203,0.0276969,0.0330232,0.0117179,20.7,21.6,29.85,-0.174836,0.484991,10.1843
11886203,0.00958738,0.0287621,0.00745685,20.4,20.85,30.15,-0.294587,0.386796,10.1963
11898379,-0.0117179,0.00532632,0.0234358,21.3,21.45,30,-0.253872,0.35566,10.1484
11921217,0.0117179,0.00426106,0.015979,21,21.45,30.3,-0.323328,0.477806,10.2131
11934377,0.0213053,0.015979,0.02024,19.65,21.6,30.9,-0.155676,0.477806,10.2394
11947382,0.00426106,0.015979,0.015979,20.4,20.1,29.85,-0.0886157,0.530497,10.17
11970203,0.0191748,0.0234358,0.0149137,21,20.25,30,-0.0934058,0.487386,10.2083
11982378,0.0213053,0.0298274,0.0149137,20.4,20.85,29.85,0.00239502,0.408351,10.1436
12005203,0.015979,0.0149137,0.00745685,20.55,18.75,29.25,-0.119751,0.520917,10.2729
12017382,0.015979,0.0117179,0.0138484,22.05,20.7,30.3,-0.165256,0.482596,10.2849
12040217,0.015979,0.00852211,0.00852211,20.25,19.95,29.55,-0.143701,0.540077,10.1867
12053377,0.00745685,-0.00213053,0.0138484,20.25,21,30,-0.155676,0.506547,10.2658
12076203,0.0266316,-0.00213053,0.0117179,19.5,21,30.6,-0.244292,0.501757,10.2322
12088379,-0.00319579,-0.00213053,0.00958738,20.55,21,28.95,-0.251477,0.453856,10.2035
12111209,0.00745685,-0.00639159,0.0106526,20.55,20.25,30.3,-0.249082,0.595162,10.2777
12123379,0.00106526,0.00106526,0.0117179,20.55,19.5,29.55,-0.275427,0.530497,10.1532
12146203,-0.00852211,0.00745685,0.00745685,18.6,20.55,29.85,-0.316143,0.576002,10.2203
12158385,-0.00213053,0.00106526,0.0138484,20.25,21,29.55,-0.210762,0.547262,10.1891
12181203,-0.00213053,0.0138484,0.015979,20.7,21.9,30.9,-0.146096,0.499362,10.1891
12193382,-0.00106526,0.0181095,0.0106526,20.1,21.6,30.15,-0.131726,0.604742,10.2298
12216203,-0.0117179,0.00852211,0.00639159,21.3,21.75,30,-0.114961,0.535287,10.2155
12228379,-0.00213053,0.0127832,0.00532632,21.3,21.45,29.55,-0.100591,0.537682,10.1676
12251203,-0.0106526,0.00958738,0.00639159,20.7,21.6,31.2,-0.138911,0.540077,10.2753
12263379,0.00106526,0.0191748,0,20.1,21.9,29.85,-0.162861,0.573607,10.1532
12287214,-0.0106526,0.0213053,0.00745685,21,21,30.3,-0.134121,0.552052,10.249
12300379,-0.0138484,0.0149137,0.00745685,20.7,21.6,29.85,-0.170046,0.571212,10.1915
12313382,0,0.0191748,0.00426106,21.3,21,30,-0.150886,0.506547,10.2083
12336217,-0.015979,0.0170442,0.00852211,20.4,22.35,29.85,-0.172441,0.513732,10.1915
12349377,-0.00319579,0.0170442,0.0149137,22.05,20.7,29.55,-0.0910107,0.499362,10.2682
12372203,-0.0117179,0.0255663,0.00745685,20.4,21.15,30.45,-0.119751,0.609532,10.237
12384379,0.00426106,0.0319579,0.0106526,21.15,21.15,31.2,-0.138911,0.511337,10.2155
12407209,0.00532632,0.0511327,0.0127832,21.6,22.2,29.25,-0.100591,0.506547,10.1987
12419379,-0.00106526,0.0436758,0.00426106,19.95,19.95,30,-0.165256,0.525707,10.2059
12442203,0.00745685,0.0490022,0.00213053,21.3,21,29.55,-0.112566,0.681383,10.261
12454404,0.00958738,0.0383495,0.00532632,21.15,21.15,29.1,-0.146096,0.573607,10.2179
12477203,-0.00213053,0.0340885,0.00745685,20.4,21.15,29.1,-0.237107,0.504152,10.2897
12489382,0.00852211,0.0340885,0.0117179,21.6,22.2,30.3,-0.153281,0.393981,10.1269
12512230,0.00639159,0.0298274,0.00319579,22.5,22.65,29.4,-0.273032,0.583187,10.261
12525383,0.00745685,0.0383495,0,22.2,21.15,30.15,-0.225132,0.686173,10.2227
12548203,0.00532632,0.0330232,-0.00532632,21.15,21.15,30.9,-0.285007,0.518522,10.1628
12560379,0.0106526,0.0351537,-0.00532632,19.95,21,30,-0.325723,0.590372,10.1795
12584222,0.0106526,0.0308927,-0.00426106,20.55,21,30,-0.277822,0.554447,10.249
12596377,-0.00639159,0.04048,-0.00319579,22.05,21.45,30.3,-0.306563,0.544867,10.2035
12619203,-0.00213053,0.0372843,-0.00319579,20.55,20.7,28.2,-0.359253,0.528102,10.1604
12631379,0.00639159,0.0340885,-0.00106526,20.25,19.95,30.6,-0.296982,0.549657,10.2706
12644378,0.00426106,0.0266316,-0.00213053,21,21.75,28.95,-0.217947,0.508942,10.1436
12667203,-0.015979,0.0394148,-0.00106526,21.15,21.9,30.9,-0.407153,0.413141,10.2562
12679379,0.00213053,0.0458064,-0.00852211,19.35,20.55,30.15,-0.383203,0.465831,10.1388
12702217,-0.0181095,0.0436758,-0.0117179,20.25,22.5,29.25,-0.416733,0.456251,10.2083
12714378,-0.0170442,0.0340885,0.00319579,19.5,21.45,29.55,-0.440684,0.611928,10.2107
12737203,0.0213053,0.0276969,-0.00213053,20.4,21.15,29.4,-0.0910107,0.698148,10.2203
12749379,-0.00319579,0.052198,-0.00319579,20.1,21.6,30.15,-0.301772,0.525707,10.1652
12772209,-0.00213053,0.0479369,-0.0106526,22.2,22.35,30.45,-0.280217,0.702938,10.225
12784379,-0.00426106,0.0330232,-0.00213053,20.25,19.95,30,-0.299377,0.463436,10.1915
12807203,-0.0149137,0.0298274,-0.00639159,20.4,21.6,30.9,-0.383203,0.403561,10.2753
12819384,-0.015979,0.0223706,-0.00319579,21.3,21.75,30.3,-0.361648,0.444276,10.17
12842203,-0.0170442,0.0213053,0.00426106,21.3,21.45,29.25,-0.373623,0.480201,10.2322
12854382,-0.0319579,0.00958738,0,20.4,21.9,29.1,-0.428709,0.468226,10.1795
12877220,-0.0340885,0.015979,-0.00426106,22.05,21.75,30,-0.304167,0.494572,10.2227
12890377,0.00106526,0.0266316,0.00106526,21.3,21,30,-0.153281,0.444276,10.1771
12913203,-0.0181095,0.0383495,0.00213053,21.6,21,30,-0.158071,0.748444,10.2346
12925379,0.0223706,0.00639159,0.00639159,21.6,19.95,30.3,-0.258662,0.571212,10.3687
12948209,-0.0234358,-0.00319579,0.00106526,20.55,22.2,31.05,-0.256267,0.549657,10.1388
12960379,-0.00106526,-0.00532632,0.00213053,21.15,20.55,29.4,-0.237107,0.587977,10.34
12983203,-0.00426106,-0.00639159,-0.00745685,22.05,19.5,29.55,-0.280217,0.487386,10.0909
12995385,-0.0138484,-0.00319579,0.00319579,22.05,20.7,30,-0.428709,0.540077,10.2634
13018203,0.00426106,-0.0170442,0.00106526,20.55,20.7,30.3,-0.359253,0.583187,10.2131
13030382,-0.00319579,0.00852211,0.00745685,20.7,20.55,29.4,-0.431104,0.587977,10.1364
13053249,0.00426106,0.00852211,0.00745685,21,21.45,29.55,-0.476609,0.523312,10.2466
13066379,-0.00426106,0,0.0106526,21.3,21,30,-0.546064,0.504152,10.2179
13089203,-0.00852211,0.00106526,0.00639159,21,19.95,29.25,-0.364043,0.446671,10.2107
13101379,-0.0298274,0.00213053,0.0106526,20.7,22.35,29.1,-0.205972,0.611928,10.2658
13124223,-0.0181095,0.015979,0,21,20.7,29.25,-0.172441,0.580792,10.2442
13137379,-0.04048,-0.0106526,-0.00319579,21.9,21.9,29.85,-0.213157,0.470621,10.2729
13150679,-0.0319579,-0.0117179,0,20.4,20.85,30.15,-0.277822,0.403561,10.2706
13173248,-0.0468716,0.0191748,0.00213053,21.9,21.6,28.8,-0.380808,0.896935,10.3161
13186379,-0.0436758,0,0.00745685,21.9,20.55,30.9,-0.603545,1.0119,10.1987
13209203,-0.0458064,-0.0191748,0.00532632,21,21,29.25,-0.364043,0.777184,10.3735
13221379,-0.0884169,-0.0255663,-0.0106526,21.45,21.6,29.85,0.0574805,0.547262,9.99992
13244223,-0.0553937,0.02024,0.00426106,20.7,21.15,30.15,-0.318538,0.27902,10.158
13257379,0.0149137,-0.0191748,0.00213053,20.55,20.25,29.55,-0.411943,-0.0347278,10.0646
13280203,-0.052198,-0.0234358,0.00213053,20.7,21.15,30.45,-0.356858,0.056283,10.2921
13292399,-0.0255663,-0.0436758,0.0106526,20.7,20.85,28.8,-0.306563,-0.281415,10.0071
13315204,-0.0990696,-0.0234358,0.00426106,22.05,21,30.6,-0.57241,-0.968785,9.6694
13327371,0.00426106,0.0127832,0.0298274,22.8,21,29.25,-0.63468,0.101788,10.3017
13350203,-0.0106526,0.0394148,0.0287621,21.9,20.55,30.15,-0.404758,0.530497,9.93525
13363372,0.00639159,0.0234358,0.0127832,22.5,21.15,29.1,-0.162861,0.659828,10.4574
13386203,0,-0.00106526,0.0191748,21.15,20.85,28.35,-0.0742456,0.370031,10.1292
