timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
16361787,-0.015979,0.0255663,-0.00106526,29.1,-34.05,49.2,-0.711321,1.13883,10.7047
16374789,-0.0181095,0.0117179,-0.00745685,28.2,-35.25,48.6,-0.783171,1.2011,10.8005
16397614,0.00213053,0.0170442,0.0117179,27.75,-34.05,47.7,-0.787961,1.14362,10.6808
16410787,-0.00426106,0.0149137,0.00745685,29.1,-35.1,49.5,-0.764011,1.13883,10.664
16433620,-0.0138484,0.0138484,0.00106526,29.85,-35.85,48.45,-0.63468,1.22984,10.7622
16445790,-0.0127832,0.015979,0.00426106,28.95,-36,48.3,-0.713716,1.1053,10.7311
16468614,-0.00852211,0.0234358,-0.00106526,28.65,-34.5,47.55,-0.701741,1.16518,10.7694
16481796,-0.00958738,0.0245011,-0.00213053,27.3,-34.8,48.45,-0.759221,1.10291,10.6784
16494790,-0.0191748,0.0223706,-0.00319579,28.05,-35.55,48.45,-0.713716,1.21547,10.6856
16517614,-0.00745685,0,-0.0149137,28.65,-34.2,48.3,-0.716111,1.20589,10.688
16529790,-0.0436758,0.015979,0.00426106,29.25,-34.2,47.55,-0.771196,1.11967,10.6209
16552620,-0.0223706,0.0213053,-0.00958738,27.9,-34.5,48,-0.768801,1.12207,10.7646
16564790,-0.0191748,0.0255663,-0.00213053,28.2,-34.2,48.3,-0.675396,1.13404,10.676
16587614,-0.0287621,0.0234358,-0.00213053,27.75,-33.3,47.1,-0.754431,1.08135,10.6401
16599795,-0.0191748,0.0234358,0.00319579,28.8,-33.3,48.15,-0.737666,1.10291,10.7335
16622614,-0.00958738,0.0245011,-0.00319579,27.75,-34.8,48.45,-0.641865,1.27535,10.7335
16634793,-0.0330232,0.0276969,0,28.5,-35.85,48.45,-0.833467,1.0574,10.6496
16657627,-0.0117179,0.015979,-0.00319579,28.05,-35.1,47.7,-0.737666,1.12207,10.7957
16670788,-0.00532632,0.0213053,-0.00319579,28.95,-34.5,48,-0.711321,1.06938,10.6712
16693614,-0.0276969,0.0149137,-0.00213053,28.2,-35.7,48,-0.878972,0.92328,10.4772
16705790,-0.00319579,0.00532632,-0.00213053,28.5,-36.15,47.7,-0.711321,1.11009,10.9011
16728614,0.00745685,0.0149137,0.00319579,28.5,-34.35,48.45,-0.752036,1.12925,10.6425
16741789,-0.0287621,0.00745685,-0.00106526,27,-34.8,48.45,-0.792751,1.09333,10.6856
16764614,0.00106526,0.0255663,0.00426106,29.7,-34.95,49.05,-0.819097,1.2035,10.8436
16776836,-0.00319579,0.015979,0.00106526,29.7,-34.95,48.6,-0.811912,1.07417,10.5802
16799614,-0.00319579,0.00106526,0.00319579,28.8,-35.55,47.1,-0.759221,1.12686,10.7143
16812789,-0.00426106,0.00852211,0.00958738,28.2,-34.5,47.25,-0.756826,1.04543,10.6401
16835664,-0.00852211,0.00532632,0.00639159,30.15,-34.8,47.7,-0.692161,1.01908,10.882
16848790,0.015979,0.0191748,0.00958738,28.65,-34.2,49.05,-0.65384,1.09333,10.6999
16861789,-0.0308927,0.0106526,0.00319579,28.05,-35.55,49.5,-0.783171,1.1556,10.6329
16884614,-0.0106526,0.0223706,0.0223706,27.15,-35.25,48.6,-0.555645,0.90891,10.7742
16897809,0.00319579,0.00639159,-0.00745685,27.6,-34.2,48,-0.598755,1.16518,10.5275
16920614,-0.04048,0.0447411,0.00426106,27.9,-34.2,46.5,-0.447869,1.06459,10.743
16933791,0.0149137,0.0436758,-0.0117179,28.8,-34.35,48.15,-0.759221,1.15081,10.7766
16956647,0.00639159,0.0585895,-0.00532632,28.95,-35.7,48,-0.835862,1.06219,10.4341
16969788,0.00426106,0.0245011,-0.0213053,28.8,-35.1,48.45,-0.883762,1.26577,10.8197
16992614,0.00426106,0.0245011,0.00745685,28.2,-34.95,47.25,-0.979563,1.18673,10.7574
17004790,0.0106526,0.0234358,0.0266316,28.2,-34.95,48.3,-0.958008,0.95681,10.652
17018107,0.00745685,-0.00745685,0.00319579,28.2,-34.95,49.35,-0.694556,1.22984,10.6616
17040614,-0.00319579,0.0340885,0.0340885,30.45,-33.45,48.3,-1.07536,0.777184,10.7191
17052791,0.0255663,-0.015979,-0.02024,29.25,-34.95,48.6,-0.371228,1.66095,10.8628
17075654,-0.0553937,0.0245011,0.0170442,29.25,-34.5,48.3,-1.14482,0.683778,10.5443
17088789,0.0138484,-0.0117179,-0.0138484,28.95,-33.75,48,-0.443079,1.12207,11.052
17111614,0.0394148,0.0213053,0.00213053,28.2,-36,48.3,-1.06818,0.94723,10.6568
17123788,-0.02024,0.00426106,-0.00213053,28.05,-34.8,47.4,-0.261057,1.26337,10.6904
17146619,-0.0149137,0,-0.00639159,28.8,-34.8,47.1,-1.03225,0.801134,10.5562
17159790,-0.00426106,0.0234358,0.00745685,28.95,-34.95,48.6,-0.510139,1.15081,10.9442
17182614,0.0266316,0.00532632,-0.0106526,28.5,-34.05,47.7,-1.10171,1.09333,10.585
17194886,-0.0266316,0.0255663,0.0117179,28.65,-34.5,48,-0.735271,1.2035,10.7574
17217614,0.00639159,0.0255663,0.00639159,28.95,-35.7,49.05,-1.01788,1.13165,10.7478
17229783,0,-0.00319579,-0.0170442,27.9,-35.25,48.3,-0.668211,1.39749,10.7167
17252614,-0.0127832,0.00532632,-0.00426106,27.75,-34.05,48.45,-1.05381,1.04303,10.6688
17265785,0.0127832,0.0170442,0.0127832,29.7,-34.5,48.6,-0.701741,1.28493,10.7909
17288614,-0.0149137,0.0266316,0.0170442,29.1,-34.05,47.7,-1.07536,0.89454,10.6544
17300784,-0.0266316,0.00213053,-0.0138484,28.8,-34.35,47.7,-0.603545,1.22266,10.7862
17323628,-0.00532632,0.0223706,0.00532632,27.3,-35.55,48.75,-0.895737,1.1077,10.7359
17336789,-0.00639159,0.0255663,0.0117179,29.1,-33.6,49.5,-0.819097,1.1556,10.6856
17349784,-0.0255663,0.0117179,-0.00213053,29.85,-33.6,47.4,-0.785566,1.1556,10.7023
17372614,-0.0170442,0.0245011,0.00319579,28.5,-35.55,47.7,-0.795147,1.18913,10.8317
17385795,-0.0245011,0.0245011,0,27.6,-35.25,48.6,-0.823887,1.18673,10.6736
17408614,-0.0245011,0.0117179,0.00639159,28.65,-35.7,48.6,-0.64905,1.26337,10.7718
17420787,-0.0415453,0.0223706,0.00532632,28.5,-35.85,48.45,-0.718506,1.12925,10.7502
17443628,-0.0308927,0.0308927,0.00532632,29.7,-35.7,48.3,-0.895737,1.1077,10.7383
17456789,-0.0383495,0.0245011,-0.00319579,28.95,-34.5,48.3,-0.979563,0.975971,10.5802
17479614,-0.00852211,0.0266316,0.00532632,28.65,-34.2,48,-0.783171,1.17476,10.7359
17491787,-0.0149137,0.0223706,0.00106526,29.25,-35.25,48.3,-0.840652,1.04303,10.6401
17514615,-0.0170442,0.0170442,0.00319579,28.95,-34.95,47.25,-0.850232,1.13165,10.7215
17526789,-0.0106526,0.02024,0.00639159,28.65,-34.95,46.95,-0.821492,1.21068,10.676
17549614,-0.00639159,0.00532632,0.00319579,28.65,-34.5,48,-0.922083,1.08854,10.6544
17561793,-0.0191748,0.0149137,0.0106526,28.8,-34.8,48.75,-0.816702,1.12207,10.7622
17584614,0.00106526,0.0127832,0.0117179,29.7,-34.2,48.3,-0.912502,1.1556,10.6688
17596789,-0.0191748,0.00958738,0.0170442,28.5,-34.8,47.7,-0.924478,1.07417,10.6425
17619631,0.00319579,0.00213053,0,30.15,-33.6,49.2,-0.859812,1.08614,10.7718
17632787,-0.00426106,0.00958738,0.00852211,28.65,-35.25,48,-0.847837,1.14123,10.6305
17655614,-0.00852211,0.00745685,0.0181095,28.65,-35.25,48.6,-0.924478,1.12446,10.7838
17668787,0.00745685,0.00852211,0.0138484,29.25,-33.45,48,-0.799937,1.13883,10.7383
17681788,-0.0181095,0.00852211,0.00958738,27.9,-34.2,49.05,-0.852627,1.13404,10.6305
17704614,0.00213053,0.00106526,0.00106526,29.55,-35.85,48.15,-0.759221,1.12207,10.8293
17716788,-0.00852211,0.0149137,0.0138484,30.15,-34.8,47.4,-0.797542,1.07417,10.6448
17739631,-0.015979,-0.00745685,-0.00213053,29.25,-33.75,48,-0.831072,1.10291,10.7047
17752788,-0.00532632,0.00532632,0.00639159,28.65,-34.95,47.55,-0.725691,1.14841,10.7191
17775614,-0.00319579,0.0127832,0.0191748,28.95,-35.25,48.3,-0.900527,1.13165,10.7143
17787785,0,0.00532632,0.0106526,28.05,-33.6,47.7,-0.855022,1.19631,10.7454
