timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
19191375,-0.0149137,0.00426106,-0.00106526,23.25,-11.55,69.6,-1.24541,1.28732,9.92421
19204382,-0.00532632,0.0117179,0.00106526,24.45,-12.15,70.5,-1.23344,1.28972,9.90984
19217379,-0.015979,0.015979,0.00532632,25.65,-13.65,70.05,-1.32924,1.33762,9.93618
19240203,-0.00639159,0.0149137,0.00319579,25.05,-11.25,70.35,-1.20948,1.33283,9.94337
19253384,-0.0138484,0.0149137,0.00639159,24,-12.3,71.7,-1.27415,1.30409,9.89547
19276203,-0.00745685,0.0117179,0.00106526,24.45,-12.15,70.05,-1.21906,1.28014,9.9266
19288379,-0.00532632,0.0117179,0.00532632,23.25,-11.55,70.65,-1.24541,1.34241,9.88828
19311216,-0.0138484,0.015979,0.00639159,23.85,-12.45,69.45,-1.20469,1.3472,9.93858
19324377,-0.00639159,0.015979,0.00745685,23.25,-12.75,69.9,-1.27415,1.32804,9.94576
19347203,-0.00319579,0.0117179,0.00532632,24,-11.55,69.9,-1.23344,1.34959,9.88828
19359379,-0.00958738,0.0106526,0.00745685,25.05,-12.3,69.6,-1.30529,1.33043,9.8811
19382209,-0.00426106,0.0106526,0.00426106,25.2,-12.9,70.5,-1.31487,1.34001,9.95295
19394378,-0.00639159,0.00958738,0.00745685,24,-12.3,69.3,-1.27415,1.37594,9.92421
19417203,-0.00852211,0.0127832,0.00213053,23.85,-12.9,69.45,-1.29571,1.32804,9.90026
19429384,-0.00532632,0.0106526,0.00426106,24.45,-13.2,69.45,-1.26218,1.33043,9.96492
19452203,-0.0117179,0.00958738,0.00532632,24.15,-11.85,70.8,-1.28613,1.39749,9.96253
19464382,-0.0117179,0.015979,0.00532632,24.45,-12.15,68.7,-1.24062,1.34241,9.96732
19487216,-0.00639159,0.015979,0.00532632,23.25,-12.75,69.3,-1.23344,1.35199,9.91702
19499378,-0.0138484,0.0127832,0.00532632,24.45,-12.45,70.05,-1.27894,1.28253,9.95534
19522203,-0.0117179,0.0106526,0.00213053,24.45,-12.9,69,-1.29092,1.31367,9.92181
19534378,-0.0106526,0.015979,0.00319579,25.35,-12.75,70.65,-1.24302,1.33043,9.89068
19557209,-0.0117179,0.00958738,0.00639159,24.3,-11.55,70.35,-1.26218,1.33043,9.94097
19569379,-0.0106526,0.0127832,0.00852211,23.1,-11.4,70.05,-1.26697,1.30888,9.89068
19592203,-0.0106526,0.0117179,0.00106526,23.85,-12.45,70.05,-1.23823,1.30888,9.94576
19604420,-0.015979,0.00639159,0.00106526,24.45,-12.9,70.5,-1.28852,1.30409,9.92421
19627203,-0.00852211,-0.00319579,0.00958738,24.15,-12.45,70.5,-1.27415,1.34001,9.95774
19639380,-0.00958738,0.00532632,0.00745685,24.75,-13.8,68.85,-1.24541,1.30648,9.91463
19662212,-0.00745685,0.00106526,0.00958738,24.75,-13.5,70.35,-1.21906,1.34959,9.98887
