timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
9925226,-0.00958738,0.00745685,0.00958738,21.15,-15.6,72,-0.890947,0.753234,11.2004
9938377,-0.00639159,0.00532632,0.00852211,21.9,-14.55,70.35,-0.898132,0.705333,11.1381
9951374,-0.0117179,0.00745685,0.00745685,21.6,-14.4,70.8,-0.845442,0.793949,11.2411
9974249,-0.00213053,0.0106526,0.00958738,21.45,-16.05,70.65,-0.838257,0.750839,11.2196
9987373,-0.00958738,0.0138484,0.00958738,21.9,-14.55,70.65,-0.835862,0.779579,11.186
10010203,-0.0127832,0.0117179,0.00319579,22.35,-14.4,69.45,-0.881367,0.801134,11.1932
10023374,-0.00319579,0.0149137,0.00319579,22.95,-15.6,69.9,-0.907712,0.726888,11.2172
10046213,0.00213053,0.0106526,0.00958738,21,-14.7,70.05,-0.845442,0.758024,11.1549
10059377,-0.00426106,0.0106526,0.00426106,21.3,-14.7,70.05,-0.890947,0.810714,11.198
10082203,-0.00213053,0.0117179,0.00745685,22.2,-16.8,70.35,-0.785566,0.781974,11.1573
10094415,-0.0127832,0.0170442,0.00532632,21.45,-15.6,70.65,-0.850232,0.746049,11.1764
10117203,-0.00745685,0.0117179,0.00532632,21.9,-14.85,70.35,-0.843047,0.729283,11.198
10130379,0.00639159,0.00958738,0.00852211,22.2,-15.3,71.4,-0.900527,0.774789,11.1357
10143373,0.00106526,0.00852211,0.0106526,21.3,-15.9,69.45,-0.819097,0.846639,11.2651
10166213,0,0.0138484,0.00532632,20.4,-15.6,71.7,-0.859812,0.758024,11.2172
10179373,0.00319579,0.00958738,0.00745685,21,-15.45,70.05,-0.866997,0.760419,11.21
10202203,-0.00106526,0.00958738,0.00426106,21.9,-13.8,69.9,-0.835862,0.772394,11.1788
10214421,-0.00213053,0.0117179,0.00745685,21.3,-15.9,70.5,-0.893342,0.777184,11.2531
10237203,0.00639159,0.0106526,0.00319579,21,-16.2,70.8,-0.878972,0.798739,11.2219
10250378,-0.00532632,0.00852211,0.00639159,21,-15.9,70.8,-0.862207,0.784369,11.1501
10273227,-0.00106526,0.0127832,0.0106526,22.35,-14.4,70.05,-0.843047,0.793949,11.2818
10286378,-0.00213053,0.0117179,0.0117179,21.9,-14.55,70.35,-0.866997,0.863405,11.1932
10299666,-0.0106526,0.00852211,0.00532632,20.55,-16.2,69.45,-0.900527,0.765209,11.2579
10322203,-0.00213053,0.0117179,0.0117179,22.8,-15.9,70.8,-0.871787,0.820294,11.2579
10335418,-0.0117179,0.00319579,0.00426106,21.3,-13.95,70.05,-0.835862,0.781974,11.1621
10358203,-0.00532632,0.0170442,0.00532632,21.3,-15.15,70.5,-0.828677,0.779579,11.2243
10371373,-0.0117179,0.00745685,0.00532632,21.3,-15.9,70.8,-0.871787,0.851429,11.1645
10394241,-0.00852211,0.0138484,0.00639159,21.6,-14.7,70.8,-0.855022,0.808319,11.2411
10407378,-0.0106526,0.00639159,0.0106526,21.6,-15.45,70.8,-0.943638,0.798739,11.1477
10430203,-0.00426106,0.00852211,0.00852211,21.9,-15.6,70.95,-0.828677,0.815504,11.2219
10443376,-0.00532632,0.00958738,0.00532632,22.05,-15.15,70.05,-0.843047,0.829874,11.2315
10456700,-0.00745685,0.0117179,0.00958738,21.6,-14.7,71.1,-0.778381,0.820294,11.2196
10479203,-0.0149137,0.00852211,0.00319579,22.05,-16.2,70.5,-0.871787,0.760419,11.1884
10492377,-0.00106526,0.0181095,0.00852211,22.8,-15.15,71.55,-0.874182,0.817899,11.2148
10515241,-0.00852211,0.00852211,0.00745685,21.3,-14.7,72.15,-0.864602,0.827479,11.1669
10528377,-0.0117179,0.0106526,0.00639159,22.2,-14.55,69.9,-0.871787,0.781974,11.2746
10551203,0.00106526,0.0106526,0.00958738,21.9,-13.8,71.4,-0.910107,0.758024,11.2124
10563377,-0.0117179,0.0106526,0.00958738,22.5,-15.6,70.95,-0.802332,0.829874,11.1573
10586213,-0.00958738,0.0117179,0.00532632,21,-15.45,70.05,-0.866997,0.789159,11.2411
10599378,-0.0117179,0.00958738,0.00745685,22.5,-14.85,71.7,-0.926873,0.810714,11.2004
10622203,-0.0117179,0.00852211,0,21.6,-15.15,70.05,-0.855022,0.755629,11.2148
10634420,-0.0106526,0.00852211,0.00532632,22.05,-15.45,70.5,-0.814307,0.837059,11.2603
10657203,0.00213053,0.0117179,0.00958738,21.3,-16.2,71.1,-0.871787,0.760419,11.1884
10670376,-0.0191748,0.00958738,0.00213053,22.2,-15.6,70.65,-0.874182,0.746049,11.2052
10683376,-0.00639159,0.0138484,0.0117179,21.9,-16.05,70.95,-0.893342,0.748444,11.1501
10706205,-0.0149137,0.00852211,0.00319579,21.45,-17.55,71.4,-0.893342,0.786764,11.1836
10719379,-0.0191748,0.00958738,0.00745685,21.6,-14.7,70.5,-0.871787,0.750839,11.2196
10742203,-0.00426106,0.0138484,0.00639159,22.05,-15.15,70.5,-0.850232,0.781974,11.1621
10755399,-0.0127832,0.0127832,0.00852211,21.15,-14.85,70.65,-0.831072,0.777184,11.198
10778203,-0.0106526,0.00958738,0.00958738,21.45,-16.8,70.65,-0.845442,0.829874,11.2339
10791377,-0.0117179,0.00958738,0.00745685,22.05,-16.65,71.1,-0.852627,0.746049,11.1717
10814239,-0.0127832,0.00852211,0.00639159,21.6,-15.9,70.5,-0.850232,0.786764,11.186
10827377,-0.00106526,0.0117179,0.00639159,20.55,-15.15,70.5,-0.883762,0.793949,11.2387
10840374,-0.00745685,0.0138484,0.00745685,22.05,-15.9,70.8,-0.840652,0.743654,11.21
10863203,-0.0106526,0.0117179,0.00639159,22.8,-15.9,70.05,-0.869392,0.760419,11.2411
10876403,0.00106526,0.0149137,0.00532632,22.5,-16.05,70.35,-0.866997,0.805924,11.2339
10899203,-0.00958738,0.0138484,0.00426106,21,-14.7,69.75,-0.905317,0.791554,11.1381
10912376,-0.00532632,0.015979,0.00639159,21,-15.15,71.55,-0.905317,0.762814,11.2459
10935222,-0.00639159,0.0170442,0.00852211,21.3,-15.45,70.5,-0.826282,0.820294,11.2028
10948378,-0.00852211,0.0117179,0.00319579,22.05,-15.45,70.05,-0.886157,0.772394,11.198
10971203,-0.00426106,0.0117179,0.00639159,21.3,-15.45,70.8,-0.852627,0.729283,11.21
10984376,-0.0138484,0.00958738,0.00958738,21.6,-15.45,70.8,-0.881367,0.793949,11.1525
10997677,-0.00639159,0.0106526,0.00958738,21,-15.15,70.5,-0.821492,0.738864,11.2507
11020203,-0.00532632,0.0127832,0.00852211,23.4,-14.7,70.05,-0.835862,0.820294,11.2291
11033376,-0.0170442,0.0170442,0.00639159,22.2,-15.3,69.9,-0.950823,0.738864,11.1812
11056216,-0.00639159,0.0138484,0.00639159,22.2,-16.8,70.65,-0.936453,0.777184,11.2219
11069377,-0.00426106,0.00745685,0.00639159,21.9,-15.3,70.65,-0.977168,0.772394,11.0878
11092203,-0.00426106,0.00852211,0.0127832,22.35,-15.45,71.85,-0.917293,0.705333,11.2507
11104376,0,0,0.0117179,22.2,-15.3,70.65,-0.859812,0.813109,11.1166
11127209,-0.0117179,0,0.0106526,21.45,-15.3,71.4,-0.843047,0.746049,11.1812
11139379,-0.00106526,0.00319579,0.00745685,22.2,-16.05,70.35,-0.859812,0.758024,11.2196
11162203,-0.00852211,0.00958738,0.00958738,21.6,-15.15,71.1,-0.950823,0.746049,11.2148
11175401,-0.0106526,0.00319579,0.00426106,21.9,-15.6,70.95,-0.871787,0.772394,11.2148
11198203,-0.00213053,0.015979,0.0106526,21.45,-14.85,69.9,-0.831072,0.815504,11.2219
11210377,-0.0138484,0.0117179,0.00213053,21.6,-16.2,70.8,-0.883762,0.748444,11.1669
11233228,-0.0127832,0.0127832,0.00852211,22.05,-16.2,71.55,-0.866997,0.791554,11.2507
11246377,-0.00852211,0.0138484,0.00852211,21.3,-14.7,70.8,-0.874182,0.767604,11.2028
11259369,-0.0127832,0.0117179,0.00745685,21.6,-15.45,71.55,-0.859812,0.793949,11.1812
11282203,-0.02024,0.00745685,0.0106526,22.05,-15.45,70.5,-0.910107,0.817899,11.2435
11295414,-0.0106526,0.00319579,0.00639159,21.3,-15.15,71.85,-0.941243,0.750839,11.1812
11318203,-0.0127832,0.00745685,0.00639159,21.9,-15.3,70.95,-0.859812,0.753234,11.2076
11331373,-0.00639159,0.00319579,0.00745685,21.15,-15.6,70.35,-0.835862,0.791554,11.2052
11354244,-0.00852211,0.00319579,0.00426106,21.45,-15.6,70.35,-0.862207,0.803529,11.2076
11367378,-0.00319579,0.00852211,0.00958738,20.7,-15.3,70.95,-0.847837,0.777184,11.2579
11390203,-0.00532632,0.00319579,0.00532632,21.6,-15.9,69.45,-0.797542,0.784369,11.1621
11402376,-0.00745685,0.00532632,0.0106526,21.6,-15.45,69.75,-0.893342,0.748444,11.21
11425222,0,0.00426106,0.0106526,22.2,-15.3,70.35,-0.857417,0.793949,11.21
11438379,-0.0117179,0.00958738,0.00639159,21.9,-14.85,69.9,-0.898132,0.772394,11.2483
11451376,-0.00639159,0.00958738,0.00426106,21.6,-15.15,70.05,-0.814307,0.820294,11.2363
11474243,-0.0117179,0.00532632,0.00958738,20.7,-14.55,70.65,-0.900527,0.779579,11.198
11487377,-0.0127832,0.00958738,0.00745685,21,-16.2,70.5,-0.855022,0.810714,11.2459
11510203,-0.00319579,0.00852211,0.00852211,22.8,-13.95,71.1,-0.821492,0.781974,11.1573
11523376,-0.00745685,0.00745685,0.00958738,21.9,-15.3,70.35,-0.874182,0.786764,11.1932
11546203,-0.00426106,0.00958738,0.0106526,21.6,-15.45,71.1,-0.866997,0.774789,11.2579
11559377,-0.00106526,0.0127832,0.0127832,21.45,-14.85,69.9,-0.864602,0.837059,11.2076
11582203,-0.00426106,0.00852211,0.00532632,21.6,-14.7,70.8,-0.874182,0.793949,11.1836
11594418,-0.00958738,0.00745685,0.00958738,22.05,-15.45,71.55,-0.893342,0.796344,11.2124
11617203,-0.00319579,0.00745685,0.0127832,22.05,-16.2,71.1,-0.898132,0.753234,11.1932
11630377,-0.00532632,0.0127832,0.00745685,21.45,-15.6,70.65,-0.871787,0.743654,11.21
11643376,-0.00426106,0.00852211,0.00958738,22.2,-16.05,71.4,-0.871787,0.793949,11.1812
11666209,-0.00852211,0.00852211,0.00745685,20.55,-14.7,70.5,-0.864602,0.805924,11.2052
11679378,-0.0117179,0.00532632,0.00745685,21.9,-16.05,70.35,-0.773591,0.753234,11.2387
11702203,-0.00745685,0.0106526,0.00745685,21.15,-15.3,70.95,-0.886157,0.781974,11.2124
11715398,-0.00532632,0.00958738,0.00532632,21.9,-16.35,71.4,-0.902922,0.772394,11.1597
11738203,-0.00319579,0.00639159,0.00426106,21.45,-15.6,70.65,-0.819097,0.736469,11.1908
11750376,-0.00319579,0.00958738,0.00745685,22.05,-15.45,70.5,-0.895737,0.748444,11.2028
11773236,-0.00852211,0.0127832,0.00213053,22.05,-15.45,71.85,-0.869392,0.779579,11.1693
11786378,-0.00639159,0.0138484,0.0106526,20.55,-15.9,70.05,-0.855022,0.777184,11.2148
11809203,-0.00106526,0.0117179,0.0106526,21.3,-15.9,70.05,-0.816702,0.781974,11.1645
11822376,-0.00639159,0.0127832,0.00745685,20.55,-14.4,69.75,-0.838257,0.760419,11.1764
11835413,0,0.0106526,0.00852211,21.6,-14.4,70.5,-0.907712,0.805924,11.1956
11858203,-0.00532632,0.0106526,0.00319579,23.25,-15.6,69.9,-0.902922,0.765209,11.1956
11871374,-0.0106526,0.0117179,0.0106526,21.15,-14.85,70.65,-0.787961,0.786764,11.2004
11894239,-0.00532632,0.00745685,0.00852211,21.9,-16.05,71.7,-0.843047,0.803529,11.2076
11907377,-0.0117179,0.00745685,0.00532632,21,-15.45,70.5,-0.931663,0.791554,11.2339
11930203,-0.0117179,0.00639159,0.00213053,21.6,-15.9,69.45,-0.898132,0.827479,11.2243
11942377,-0.00745685,0.00852211,0.0127832,21.6,-14.7,71.1,-0.855022,0.688568,11.2531
11965222,-0.00426106,0.0117179,0.00852211,22.05,-15.45,70.05,-0.878972,0.777184,11.1717
11978378,-0.0106526,0.0106526,0.00639159,22.05,-14.7,70.8,-0.907712,0.846639,11.2315
12001203,-0.00639159,0.00958738,0.00639159,21.9,-13.8,69.9,-0.890947,0.748444,11.2148
12013418,-0.00532632,0.0127832,0.00639159,22.35,-15.9,70.5,-0.807122,0.793949,11.198
12036203,-0.0117179,0.0138484,0.00426106,22.8,-15.45,71.55,-0.866997,0.791554,11.2387
12049374,-0.00532632,0.0117179,0.00426106,21.3,-16.2,71.1,-0.881367,0.813109,11.1932
12062376,-0.00745685,0.0138484,0.00852211,21.9,-14.25,69.6,-0.919688,0.796344,11.1956
12085222,-0.0117179,0.00639159,0.0106526,21.9,-15.6,70.35,-0.730481,0.841849,11.1884
12098379,-0.00958738,0.015979,0.0149137,21.9,-15.6,71.4,-0.926873,0.712518,11.2219
12121203,-0.00106526,0.0127832,0.0117179,22.2,-14.55,70.95,-0.855022,0.736469,11.174
12133414,-0.00213053,0.00532632,0.00958738,22.05,-14.7,71.55,-0.881367,0.798739,11.1788
12156203,-0.0117179,0.00958738,0.00532632,22.35,-15.9,70.05,-0.888552,0.738864,11.1214
12169375,0.00213053,0.00532632,0.00639159,21.6,-15.45,71.1,-0.874182,0.765209,11.3249
12192204,-0.00319579,0.0117179,0.0106526,20.4,-16.05,72,-0.835862,0.803529,11.1812
12205378,-0.0170442,0.00639159,0.0117179,21.45,-16.05,70.95,-0.833467,0.705333,11.2196
12228203,0.00319579,0.00745685,0.00639159,22.05,-15.45,70.8,-0.852627,0.772394,11.2219
