timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
15351631,0.00213053,0.0127832,0.0138484,18.75,-2.55,73.2,0.107776,0.864602,9.83201
15364376,-0.0106526,0.0117179,0.00532632,18.6,-3,72.45,0.119751,0.895737,9.92542
15377361,-0.0170442,0.0106526,0.00426106,18.6,-1.95,72.45,0.124541,0.852627,9.99966
15400202,-0.00426106,0.0117179,0.00745685,19.35,-1.65,73.5,0.0455054,0.845442,9.96853
15412417,-0.00319579,0.0138484,0.00639159,18.15,-3.6,72.9,0.146096,0.828677,10.0092
15435204,0.00319579,0.0170442,0.00532632,18.3,-2.4,70.95,0.0958008,0.819097,9.90147
15447366,-0.00852211,0.0106526,0.00639159,19.35,-1.2,74.1,0.114961,0.799937,9.935
15470208,-0.0106526,0.0127832,0,18.45,-1.05,72.6,0.0790356,0.833467,9.96613
15483376,-0.0106526,0.0127832,0.00639159,19.2,-1.8,71.55,0.0646655,0.864602,9.99487
15506203,-0.00532632,0.00639159,0.00852211,18.6,-2.7,72.45,0.0981958,0.773591,9.96853
15518373,0.00106526,0.0127832,0.00852211,19.5,-1.8,74.25,0.114961,0.802332,9.9805
15541216,-0.00639159,0.00639159,0.00745685,17.7,-2.55,72.6,0.117356,0.850232,10.026
15554378,0,0.0149137,0.00745685,18.75,-2.55,72.6,0.0958008,0.807122,9.95655
15577203,-0.00213053,0.0127832,0.00745685,19.2,-2.85,72.9,0.0981958,0.855022,9.90626
15589380,-0.0138484,0.0106526,0.00426106,19.2,-1.8,73.65,0.143701,0.831072,9.92063
15612210,-0.00958738,0.0117179,0.00532632,18.75,-1.35,72.9,0.0574805,0.826282,9.97571
15625378,-0.00106526,0.00639159,0.00639159,18.75,-1.8,72.6,0.0287402,0.883762,10.0715
15648203,0.00426106,0.015979,0.0127832,19.05,-3.75,73.05,0.0981958,0.855022,9.99487
15660382,-0.00639159,0.0117179,0.0106526,19.35,-1.65,71.7,0.138911,0.756826,9.92302
15683203,-0.00639159,0.00745685,0.00745685,18.75,-3.6,72.15,0.0790356,0.840652,10.0068
15695377,-0.0106526,0.0106526,0.00639159,20.25,-1.8,71.85,0.0742456,0.864602,9.97811
