timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
12645377,-0.0117179,0.00958738,0.00213053,21.6,14.4,76.35,-0.366438,0.667013,9.83955
12658373,-0.00958738,0.015979,0.00745685,22.05,13.65,77.4,-0.409548,0.626298,9.84674
12681203,-0.00852211,0.0117179,0.0117179,21.15,13.05,76.2,-0.296982,0.667013,9.86829
12693373,-0.00958738,0.0170442,0.00532632,22.35,13.95,77.1,-0.318538,0.724493,9.80842
12716209,-0.0149137,0.00852211,0.00958738,21,12.9,76.35,-0.352068,0.633483,9.85392
12729377,-0.00639159,0.0106526,0.00532632,22.05,12.9,76.35,-0.395178,0.602347,9.87309
12752203,-0.0127832,0.0127832,0.00745685,22.5,13.05,77.25,-0.359253,0.676593,9.82039
12764381,-0.00852211,0.00745685,0.00852211,21.15,12.3,77.25,-0.409548,0.619113,9.80123
12777377,-0.0149137,0.0106526,0.0127832,22.05,12.9,77.1,-0.356858,0.645458,9.87309
12800203,-0.00426106,0.00852211,0.00639159,21.6,13.2,77.1,-0.373623,0.638273,9.82518
12812376,-0.02024,0.00532632,0.00639159,20.7,14.25,76.65,-0.402363,0.602347,9.79165
12835209,-0.0117179,0.00532632,0.00532632,21,12.45,76.35,-0.361648,0.690963,9.84434
12847377,-0.0127832,0.0117179,0.0138484,22.95,12.3,76.2,-0.397573,0.662223,9.79884
12870203,-0.00532632,0.0181095,0.0138484,20.7,14.85,76.2,-0.337698,0.669408,9.85392
12882404,-0.00852211,0.0138484,0.00958738,21.3,14.4,75.75,-0.332908,0.597557,9.818
12905203,-0.00958738,0.00958738,0.00532632,20.55,12.45,77.1,-0.337698,0.698148,9.77968
12917376,-0.0170442,0.00958738,0.00639159,20.25,12.45,76.8,-0.335303,0.645458,9.82997
12940237,-0.00852211,0.0117179,0.00639159,21.45,12.3,75.9,-0.368833,0.657433,9.87548
12953378,-0.00958738,0.0117179,0.00745685,21,12.9,76.35,-0.342488,0.604742,9.8659
12976203,-0.00745685,0.0149137,0.00639159,20.7,12.75,74.85,-0.416733,0.619113,9.82997
12988376,-0.0106526,0.00745685,0.00532632,21.3,12.9,76.8,-0.340093,0.614323,9.76052
13011225,-0.00958738,0.0127832,0.00639159,22.5,14.25,76.2,-0.402363,0.652643,9.8635
13024379,-0.0117179,0.0117179,0.00852211,22.05,12.9,77.85,-0.330513,0.717308,9.83955
13047203,-0.0117179,0.00532632,0.00639159,20.1,12.75,76.95,-0.368833,0.717308,9.80602
13059376,-0.0106526,0.0138484,0.0117179,22.05,13.2,76.05,-0.323328,0.650248,9.80123
13082203,-0.0106526,0.0106526,0.0106526,22.2,14.25,77.25,-0.426313,0.607138,9.87787
13094377,-0.00426106,0.00745685,0.0138484,21.6,12.9,75.75,-0.383203,0.698148,9.84195
13117203,-0.0170442,0.00852211,0.0106526,22.05,12.15,75,-0.383203,0.705333,9.80602
13129381,-0.0106526,0.00852211,0.00745685,21.9,12.3,76.2,-0.356858,0.669408,9.83716
13152203,-0.00532632,0.0117179,0.00639159,21,14.4,75.3,-0.376018,0.609532,9.818
13164377,-0.0117179,0.0127832,0.00745685,21.45,13.05,75.15,-0.359253,0.614323,9.85153
13187216,-0.00532632,0.00852211,0.0106526,21.15,13.05,75.9,-0.335303,0.688568,9.818
13200377,-0.015979,0.00852211,0.00532632,20.55,12.9,76.8,-0.397573,0.611928,9.83237
13223203,-0.00745685,0.0127832,0.0106526,23.1,12.9,76.35,-0.323328,0.693358,9.79884
13235377,-0.00745685,0.0117179,0.00958738,21.6,13.65,76.8,-0.337698,0.659828,9.7701
13258209,-0.0255663,0.0117179,0.00426106,21.6,14.4,77.1,-0.356858,0.643063,9.84195
13270378,0.00106526,0.00852211,0.00852211,20.4,13.5,75.6,-0.335303,0.659828,9.86829
13283671,-0.00745685,0.0138484,0.00745685,21.15,12.3,76.2,-0.330513,0.626298,9.74375
13306216,-0.0213053,0.00745685,0.0138484,21.45,13.05,76.95,-0.301772,0.719703,9.85872
13319378,-0.0181095,0.00852211,0.00852211,23.55,13.8,76.2,-0.409548,0.571212,9.79644
13342203,-0.0138484,0.0106526,0.0127832,22.05,13.2,76.8,-0.354463,0.650248,9.93056
13355377,0.00106526,0.015979,0.0223706,21.3,12.15,75.75,-0.359253,0.686173,9.83955
13378209,-0.015979,0.00745685,0.0127832,22.05,12.9,76.8,-0.349673,0.664618,9.77489
13391382,-0.0149137,0.00852211,0.0117179,20.7,12.75,76.2,-0.440684,0.669408,9.81321
13414203,-0.0117179,0.00319579,0.0127832,21.15,13.8,76.95,-0.371228,0.568817,9.78447
13426382,-0.00852211,0.0106526,0.00639159,21,11.4,76.05,-0.352068,0.662223,9.8156
13449203,-0.00958738,0.00745685,0.015979,20.7,12.3,76.65,-0.337698,0.712518,9.88506
13461378,-0.0117179,0.0106526,0.0138484,21.45,13.05,76.95,-0.337698,0.726888,9.82039
13484216,0,0.0138484,0.0117179,21.3,13.65,75,-0.407153,0.647853,9.85153
13497378,-0.0117179,0.0117179,0.0138484,22.05,12.45,76.8,-0.306563,0.657433,9.82758
13510372,-0.0138484,0.00639159,0.0117179,21.3,12.15,76.35,-0.354463,0.693358,9.80363
13533203,-0.00852211,0.0117179,0.00745685,21.6,13.95,75.75,-0.342488,0.623903,9.85153
13545379,0.00213053,0.0106526,0.00958738,22.35,13.2,76.05,-0.289797,0.595162,9.84434
13568203,-0.00319579,0.00958738,0.00745685,19.35,13.05,76.65,-0.347278,0.655038,9.76291
13580373,-0.00852211,0.00852211,0.00426106,21.45,13.8,76.95,-0.356858,0.717308,9.87069
13603216,-0.0127832,0.0138484,0.00852211,21.9,12.3,78,-0.368833,0.674198,9.88985
13616378,-0.00745685,0.0138484,0.00958738,20.4,14.25,78,-0.280217,0.655038,9.75333
13639203,-0.015979,0.00426106,0.0117179,21.6,13.2,75.75,-0.399968,0.671803,9.85632
13651376,-0.00319579,0.0106526,0.0149137,22.2,14.25,76.2,-0.342488,0.688568,9.92099
13674209,-0.00532632,0.00958738,0.0149137,20.25,13.2,76.8,-0.378413,0.705333,9.81081
13686379,-0.00745685,0.00958738,0.00852211,20.4,12,76.95,-0.438289,0.655038,9.87309
13709203,0,0.00745685,0.0138484,21.45,14.25,76.95,-0.229922,0.640668,9.80602
13721408,-0.0276969,0.00532632,0.00639159,20.4,13.5,75.15,-0.301772,0.643063,9.7677
13744203,-0.00532632,0.00745685,0.0149137,21.6,13.2,77.4,-0.368833,0.640668,9.88985
13756376,-0.0127832,0.00639159,0.0170442,22.8,13.95,76.05,-0.335303,0.631088,9.80363
13779221,-0.0106526,0.00745685,0.0127832,21.45,12.75,75.9,-0.361648,0.669408,9.8659
13792378,-0.00426106,0.00958738,0.00852211,22.05,12.9,76.8,-0.376018,0.614323,9.79884
13815203,-0.0117179,0.0117179,0.00639159,21.6,13.2,78.15,-0.273032,0.645458,9.77728
13827376,-0.0106526,0.015979,0.0138484,22.5,12.75,75.9,-0.397573,0.667013,9.8156
13850217,-0.00958738,0.0117179,0.0149137,22.2,13.8,77.7,-0.275427,0.690963,9.84434
13863376,-0.0191748,0.0149137,0.0127832,21.6,13.2,76.8,-0.385598,0.645458,9.76531
13886203,0,0.00958738,0.00958738,21.45,14.55,76.65,-0.356858,0.676593,9.80363
13898386,-0.00213053,0.00639159,0.00852211,21.9,13.05,75.9,-0.409548,0.645458,9.80363
13921203,0,0.00852211,0.00532632,21.45,13.05,76.65,-0.316143,0.784369,9.85392
13933374,-0.00319579,0.0170442,0.0106526,19.95,12.9,75.75,-0.337698,0.698148,9.84195
13956203,-0.00319579,0.0117179,0.00745685,21.9,13.8,77.7,-0.380808,0.717308,9.77968
13968382,-0.0127832,0.0106526,0.00745685,22.8,12.9,77.4,-0.352068,0.640668,9.78447
13981377,0.00319579,0.00639159,0.0138484,21.15,13.5,76.2,-0.378413,0.585582,9.82279
14004203,-0.00532632,0.00958738,0.0106526,20.55,12.9,75.75,-0.342488,0.578397,9.83955
14016374,-0.0138484,0.0245011,0.00639159,20.55,13.65,77.85,-0.593965,0.554447,9.87309
14039210,-0.0127832,0.00213053,0,21.6,14.7,78.15,-0.213157,0.755629,9.84434
14052377,-0.0138484,0.0223706,-0.00852211,21.15,12.3,75.15,-0.416733,0.599952,9.77968
14075203,-0.0255663,0.0149137,-0.00426106,21.3,13.2,76.8,-0.385598,0.671803,10.1006
14087382,0.0596548,0.0298274,0.0181095,21.3,14.4,77.85,-0.419128,0.592767,9.70783
14110203,-0.0745685,0.00639159,-0.00745685,20.4,14.25,76.95,-0.292192,0.607138,9.47551
14122378,0.0213053,0.0170442,0.0117179,21.45,12.75,76.65,-0.570015,0.559237,10.1341
14145220,-0.0426106,0.00852211,-0.00319579,22.2,12.3,77.25,-0.474214,0.540077,9.80363
14158376,-0.00213053,0.00639159,-0.0117179,20.4,13.05,75.6,-0.423918,0.525707,9.86111
14181203,-0.0788296,-0.0255663,-0.015979,22.35,12.9,77.1,-0.210762,0.722098,9.34618
14193376,0.00958738,0.00426106,0.00958738,21.15,12,75.6,-0.402363,0.461041,10.2347
14216209,-0.0127832,0.00745685,-0.00106526,22.05,12.9,76.8,-0.167651,0.568817,9.63358
14229377,0.0245011,0.0149137,0.0117179,21.3,12.45,77.4,-0.404758,0.482596,10.0599
