timestamp,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
17408376,-0.00958738,0.00958738,0.00639159,33,-16.65,45,0.122146,0.425116,10.0769
17431203,-0.00532632,0.0127832,0.00639159,33.45,-17.7,45.3,0.00479004,0.475411,10.0793
17443379,-0.00639159,0.00958738,0.00426106,32.4,-16.2,45,0.0526904,0.473016,10.1583
17466217,-0.00319579,0.00852211,0.00745685,34.35,-16.8,44.1,0.0191602,0.508942,10.0721
17479379,-0.00319579,0.00958738,0.00745685,33.3,-17.1,43.35,0.0311353,0.437091,10.0984
17502203,-0.00745685,0.015979,0.00639159,32.55,-17.1,44.85,0.00718506,0.537682,10.1176
17514382,-0.00852211,0.00852211,0.00852211,33.9,-17.55,44.85,0.00239502,0.461041,10.1415
17537209,-0.00958738,0.0127832,0.00745685,32.1,-17.1,43.8,0.0311353,0.487386,10.1176
17550379,-0.00213053,0.00852211,0.00639159,32.7,-15.15,45,0.0287402,0.463436,10.0865
17573203,-0.00319579,0.0127832,0.00852211,32.55,-16.05,44.4,0.0287402,0.439486,10.1559
17586385,-0.00319579,0.00852211,0.00426106,32.85,-16.8,44.85,0.0263452,0.451461,10.12
17609203,-0.00639159,0.00745685,0.00852211,32.55,-16.8,44.1,0.0910107,0.504152,10.1104
17622382,-0.00745685,0.0106526,0.00213053,33.6,-16.8,45.15,0.00239502,0.477806,10.1703
17635379,-0.00958738,0.0149137,0.00852211,32.85,-16.8,44.4,0.0215552,0.441881,10.108
17658210,-0.00852211,0.00745685,0.00958738,31.5,-16.05,45.45,0.110171,0.461041,10.12
17671379,-0.00213053,0.0138484,0,33.75,-16.2,43.95,0.0455054,0.487386,10.0936
17694203,-0.00745685,0.00958738,0.00745685,32.55,-17.1,45.45,0.0263452,0.470621,10.1487
17706384,-0.00958738,0.00745685,0.00852211,32.4,-16.95,45.3,0.0311353,0.429906,10.1511
17729203,-0.00426106,0.0106526,0.0106526,33.75,-16.65,45.3,0.0167651,0.465831,10.0314
17742382,0,0.00745685,0.00426106,33.3,-16.35,44.85,0.0550855,0.441881,10.132
17765217,0.00213053,0.00852211,0.00745685,33.6,-17.1,43.35,0.134121,0.451461,10.1128
17778378,-0.0149137,0.00426106,0.00639159,33.3,-16.35,44.1,0.0550855,0.463436,10.0865
17801203,-0.00745685,0.00745685,0.00213053,32.85,-17.55,45.45,0.105381,0.492177,10.1655
17813379,-0.00639159,0.00852211,0.00639159,31.65,-15.9,44.25,0.0742456,0.465831,10.0841
17836209,-0.00745685,0.00532632,0,33,-15.15,45.3,0.0742456,0.441881,10.1248
17849379,-0.00213053,0.00532632,0.00106526,31.95,-16.65,45,0.0598755,0.398771,10.0697
17862382,-0.00958738,0.00532632,0.00426106,33.45,-17.7,44.25,0.143701,0.487386,10.0625
17885217,-0.0117179,0.00532632,0.00532632,33.3,-16.8,44.4,0.119751,0.482596,10.0889
17898377,-0.00319579,0.00532632,0.00426106,32.4,-16.2,44.7,0.0886157,0.513732,10.1032
17921203,-0.00852211,0.00745685,0.00319579,31.8,-16.35,43.35,0.0335303,0.487386,10.12
17933379,-0.00532632,0.0117179,0.00319579,32.7,-15.45,44.25,0.0838257,0.475411,10.1248
17956209,-0.00745685,0.00745685,0.00426106,32.4,-16.2,43.95,0.0646655,0.489782,10.1176
17968379,-0.0106526,0.0106526,0.00639159,33.3,-16.05,43.8,0.0479004,0.475411,10.1799
17991203,-0.00958738,0.00639159,0.00639159,32.85,-17.55,44.4,-0.0622705,0.475411,10.0434
18003384,-0.015979,0.0223706,0.015979,32.4,-17.4,44.25,-0.0359253,0.382006,10.2517
18026203,0.00532632,0.0234358,0.0170442,33.45,-15.9,44.7,-0.0311353,0.499362,10.0194
18038382,-0.0266316,0.0223706,0.0149137,32.55,-17.1,44.1,0.138911,0.532892,10.1583
18061217,0.00213053,0.015979,0.0127832,33.3,-18.3,44.4,0.198787,0.456251,10.1392
18074377,-0.0170442,0.0106526,0.00745685,33.6,-17.1,44.85,-0.0718506,0.544867,10.096
18097203,-0.00106526,0.0245011,0.0170442,32.7,-18,45,-0.0431104,0.499362,10.2469
18109379,-0.00213053,0.0234358,0.0234358,33.6,-15.6,44.1,0.0502954,0.506547,10.0338
18132209,-0.00852211,0.0255663,0.0234358,34.35,-17.55,43.8,0.198787,0.542472,10.2158
18145379,0.0106526,0.0181095,0.0138484,33.6,-14.85,44.4,0.186812,0.559237,10.0984
18158382,-0.015979,0.0106526,0.00639159,33.9,-17.1,44.4,0.0790356,0.453856,10.0505
18181203,0.00106526,0.00426106,0.00532632,33.45,-18,45,0.0526904,0.362845,10.1607
18193379,-0.00852211,0.00532632,0.00532632,33,-16.2,45,-0.0119751,0.504152,10.0505
18216203,-0.00852211,0.00532632,0,33,-16.95,45.6,0.0239502,0.449066,10.1727
18228379,0.00213053,0.00745685,-0.00106526,33.9,-16.35,44.85,0.0335303,0.463436,10.0745
